TEAM,POINTS FOR,P YARDS FOR ,R YARDS F,PENALTY YARDS AGAINST,TURNOVERS AGAINST,OPP,POINTS AGAINST,P YARDS AGAINST,R YARDS AGAINST,PENALTY YARDS FOR,TURNOVERS FOR
Air Force,48,224,315,20,0,Georgia State,38,414,118,62,1
Air Force,28,97,287,47,2,Boise State,14,370,48,80,7
Air Force,13,226,151,25,2,Wyoming,17,282,51,15,0
Air Force,30,166,198,65,0,Navy,21,142,251,55,2
Air Force,16,224,155,30,4,Utah State,34,311,77,43,1
Air Force,35,159,269,5,1,New Mexico,31,33,367,15,2
Akron,3,208,69,64,0,Penn State,21,319,106,25,3
Akron,17,251,92,94,4,Marshall,48,242,284,188,1
Akron,21,213,169,64,1,Pittsburgh,10,220,129,55,2
Akron,31,355,197,124,0,Eastern Michigan,6,185,94,60,4
Akron,29,167,151,74,2,Miami (OH),19,352,0,102,3
Akron,20,268,84,83,3,Ohio,23,197,159,120,2
Akron,21,200,125,45,5,Ball State,35,225,155,20,0
Alabama,33,250,288,49,1,West Virginia,23,365,28,55,0
Alabama,41,430,190,60,1,Florida Atlantic,0,88,57,23,1
Alabama,52,214,333,25,1,Southern Miss,12,207,56,50,0
Alabama,42,449,223,80,4,Florida,21,93,107,36,3
Alabama,17,228,168,52,2,Ole Miss,23,251,76,25,1
Alabama,14,161,66,30,2,Arkansas,13,246,89,28,3
Alabama,59,304,298,0,0,Texas A&M,0,151,31,6,1
Alabama,34,286,183,50,2,Tennessee,20,202,181,33,2
Appalachian State,14,127,153,69,0,Michigan,52,210,350,44,1
Appalachian State,20,264,191,59,3,Southern Miss,21,268,61,103,2
Appalachian State,14,256,74,55,2,Georgia Southern,34,88,408,75,1
Appalachian State,21,191,203,77,3,South Alabama,47,339,243,124,0
Appalachian State,53,110,441,52,1,Troy,14,229,79,89,4
Arizona,58,434,353,63,0,UNLV,13,252,119,64,1
Arizona,26,231,223,73,0,UTSA,23,228,121,53,1
Arizona,35,278,229,47,1,Nevada,28,321,108,74,0
Arizona,49,520,107,65,2,California,45,380,193,99,2
Arizona,31,287,208,79,2,Oregon,24,302,144,79,2
Arizona,26,395,77,35,1,USC,28,185,239,103,2
Arizona,59,294,157,89,1,Washington State,37,489,54,85,2
Arizona State,68,198,423,30,1,New Mexico,23,130,207,73,3
Arizona State,38,203,223,59,0,Colorado,24,313,232,75,3
Arizona State,27,488,138,59,4,UCLA,62,355,225,78,0
Arizona State,38,510,31,36,0,USC,34,273,220,60,0
Arizona State,26,356,114,9,0,Stanford,10,212,76,36,2
Arizona State,24,180,105,20,1,Washington,10,139,151,30,3
Arkansas,21,175,153,40,1,Auburn,45,293,302,71,1
Arkansas,49,61,438,15,3,Texas Tech,28,252,101,60,2
Arkansas,52,215,212,67,0,Northern Illinois,14,180,123,30,1
Arkansas,28,199,285,76,1,Texas A&M,35,386,137,70,1
Arkansas,13,246,89,28,3,Alabama,14,161,66,30,2
Arkansas,32,296,126,79,4,Georgia,45,179,207,101,0
Arkansas,45,211,273,9,1,UAB,17,195,62,10,1
Arkansas State,19,190,141,75,1,Tennessee,34,247,168,14,1
Arkansas State,20,236,93,84,2,Miami (FL),41,342,146,93,2
Arkansas State,21,190,126,62,4,Utah State,14,268,145,100,1
