TEAM,D YDS,D YDS/G,D PASS,D P YDS/G,D RUSH,D R YDS/G,D PTS,D PTS/G
UNLV,5051,505,2254,225.4,2797,279.7,372,37.2
Old Dominion,4760,476,2406,240.6,2354,235.4,401,40
Georgia State,5001,500,1909,190.9,3092,309.2,438,43.8
Fresno State,4911,491,2703,270.3,2208,220.8,355,35.5
Air Force,3284,365,2105,233.9,1179,131,198,22
Akron,3272,364,1978,219.8,1294,143.8,189,21
Alabama,2477,275,1669,185.4,808,89.8,125,13.9
Appalachian State,3232,359,1827,203,1405,156.1,252,28
Arizona,3948,439,2605,289.4,1343,149.2,235,26.1
Arizona State,3569,397,2081,231.2,1488,165.3,224,24.9
Arkansas,3283,365,2052,228,1231,136.8,222,24.7
Arkansas State,3332,370,1871,207.9,1461,162.3,216,24
Army,3856,428,2218,246.4,1638,182,295,32.8
Auburn,3477,386,2312,256.9,1165,129.4,217,24.1
Ball State,3620,402,1880,208.9,1740,193.3,248,27.6
Baylor,2900,322,1930,214.4,970,107.8,189,21
Boise State,3510,390,2099,233.2,1411,156.8,269,29.9
Boston College,3235,324,2269,226.9,966,96.6,219,21.9
Bowling Green,4742,527,2928,325.3,1814,201.6,302,33.6
Buffalo,3816,424,2119,235.4,1697,188.6,302,33.6
BYU,3578,398,2563,284.8,1015,112.8,245,27.2
California,4734,526,3388,376.4,1346,149.6,359,39.9
Central Michigan,3141,314,1935,193.5,1206,120.6,219,21.9
Cincinnati,3805,476,2134,266.8,1671,208.9,238,29.8
Clemson,2268,252,1450,161.1,818,90.9,166,18.4
Colorado,4496,450,2431,243.1,2065,206.5,386,38.6
Colorado State,4244,424,2536,253.6,1708,170.8,234,23.4
Connecticut,3324,369,1990,221.1,1334,148.2,249,27.7
Duke,3604,400,1773,197,1831,203.4,164,18.2
East Carolina,2715,339,1941,242.6,774,96.8,184,23
Eastern Michigan,4535,504,2364,262.7,2171,241.2,343,38.1
Florida,2672,334,1742,217.8,930,116.3,183,22.9
Florida Atlantic,4571,457,2422,242.2,2149,214.9,347,34.7
Florida International,3683,368,2049,204.9,1634,163.4,253,25.3
Florida State,3366,374,2145,238.3,1221,135.7,202,22.4
Georgia,3042,338,1674,186,1368,152,209,23.2
Georgia Southern,3851,385,2420,242,1431,143.1,213,21.3
Georgia Tech,4087,409,2397,239.7,1690,169,259,25.9
Hawaii,4167,417,2306,230.6,1861,186.1,286,28.6
Houston,2876,320,1628,180.9,1248,138.7,159,17.7
Idaho,4129,459,1924,213.8,2205,245,331,36.8
Illinois,4348,483,1983,220.3,2365,262.8,330,36.7
Indiana,3898,433,2371,263.4,1527,169.7,291,32.3
Iowa,3011,335,1621,180.1,1390,154.4,211,23.4
Iowa State,4455,495,2254,250.4,2201,244.6,340,37.8
Kansas,3921,436,2242,249.1,1679,186.6,270,30
Kansas State,3121,347,1980,220,1141,126.8,190,21.1
Kent State,3832,426,1873,208.1,1959,217.7,265,29.4
Kentucky,3900,390,1903,190.3,1997,199.7,281,28.1
Louisiana Tech,3423,342,2144,214.4,1279,127.9,241,24.1
Louisiana-Lafayette,3798,422,2353,261.4,1445,160.6,250,27.8
Louisiana-Monroe,3176,353,1867,207.4,1309,145.4,242,26.9
Louisville,2857,286,1983,198.3,874,87.4,178,17.8
LSU,3178,318,1635,163.5,1543,154.3,163,16.3
Marshall,3042,338,1703,189.2,1339,148.8,149,16.6
Maryland,3886,432,2145,238.3,1741,193.4,253,28.1
Massachusetts,4125,458,2320,257.8,1805,200.6,315,35
Memphis,3103,345,1957,217.4,1146,127.3,168,18.7
Miami (FL),2812,312,1625,180.6,1187,131.9,197,21.9
Miami (OH),4431,443,2420,242,2011,201.1,324,32.4
Michigan,3008,301,1976,197.6,1032,103.2,204,20.4
Michigan State,2803,311,1772,196.9,1031,114.6,211,23.4
Middle Tennessee,4156,462,2589,287.7,1567,174.1,282,31.3
Minnesota,3018,335,1780,197.8,1238,137.6,192,21.3
Mississippi State,3845,427,2705,300.6,1140,126.7,177,19.7
Missouri,3067,341,1853,205.9,1214,134.9,174,19.3
Navy,3825,425,2240,248.9,1585,176.1,270,30
Nebraska,3058,340,1944,216,1114,123.8,177,19.7
Nevada,4003,445,2637,293,1366,151.8,226,25.1
New Mexico,4562,507,2067,229.7,2495,277.2,315,35
New Mexico State,4629,463,1449,144.9,3180,318,371,37.1
North Carolina,4593,510,2616,290.7,1977,219.7,377,41.9
North Carolina State,4051,405,2032,203.2,2019,201.9,304,30.4
North Texas,3396,377,2072,230.2,1324,147.1,275,30.6
Northern Illinois,3528,392,2149,238.8,1379,153.2,231,25.7
Northwestern,3363,374,1887,209.7,1476,164,201,22.3
Notre Dame,3285,365,2042,226.9,1243,138.1,228,25.3
Ohio,4090,409,2735,273.5,1355,135.5,256,25.6
Ohio State,2936,326,1809,201,1127,125.2,196,21.8
Oklahoma,3613,401,2522,280.2,1091,121.2,222,24.7
Oklahoma State,3814,424,2544,282.7,1270,141.1,272,30.2
Ole Miss,3098,310,1817,181.7,1281,128.1,119,11.9
Oregon,4567,457,2940,294,1627,162.7,250,25
Oregon State,3462,385,2091,232.3,1371,152.3,268,29.8
Penn State,2406,267,1638,182,768,85.3,149,16.6
Pittsburgh,3006,334,1591,176.8,1415,157.2,237,26.3
Purdue,4220,422,2363,236.3,1857,185.7,319,31.9
Rice,3242,360,2027,225.2,1215,135,234,26
Rutgers,3805,423,2081,231.2,1724,191.6,265,29.4
San Diego State,3092,344,1795,199.4,1297,144.1,182,20.2
San Jose State,3199,355,1120,124.4,2079,231,261,29
SMU,4376,547,2481,310.1,1895,236.9,374,46.8
South Alabama,3401,378,1817,201.9,1584,176,211,23.4
South Carolina,4145,461,2134,237.1,2011,223.4,307,34.1
South Florida,3815,424,2071,230.1,1744,193.8,264,29.3
Southern Miss,4526,453,2470,247,2056,205.6,368,36.8
Stanford,2530,281,1538,170.9,992,110.2,145,16.1
Syracuse,3443,344,2170,217,1273,127.3,234,23.4
TCU,3370,374,2215,246.1,1155,128.3,201,22.3
Temple,3278,364,1806,200.7,1472,163.6,163,18.1
Tennessee,3375,375,1827,203,1548,172,225,25
Texas,3620,362,1844,184.4,1776,177.6,224,22.4
Texas A&M,4310,431,2347,234.7,1963,196.3,271,27.1
Texas State,3943,438,1987,220.8,1956,217.3,250,27.8
Texas Tech,4519,502,2309,256.6,2210,245.6,374,41.6
Toledo,3933,437,2913,323.7,1020,113.3,289,32.1
Troy,4542,454,2063,206.3,2479,247.9,375,37.5
Tulane,3482,387,1974,219.3,1508,167.6,259,28.8
Tulsa,4354,484,2409,267.7,1945,216.1,353,39.2
UAB,3998,400,2225,222.5,1773,177.3,312,31.2
UCF,2466,308,1511,188.9,955,119.4,171,21.4
UCLA,4100,410,2472,247.2,1628,162.8,279,27.9
USC,3584,398,2338,259.8,1246,138.4,203,22.6
Utah,3590,399,2297,255.2,1293,143.7,221,24.6
Utah State,3560,356,2600,260,960,96,192,19.2
UTEP,3488,388,1991,221.2,1497,166.3,275,30.6
UTSA,3226,358,1864,207.1,1362,151.3,229,25.4
Vanderbilt,4061,406,2309,230.9,1752,175.2,324,32.4
Virginia,3478,348,2292,229.2,1186,118.6,252,25.2
Virginia Tech,3106,345,1621,180.1,1485,165,203,22.6
Wake Forest,3293,366,1720,191.1,1573,174.8,231,25.7
Washington,4164,416,2780,278,1384,138.4,264,26.4
Washington State,4540,454,3078,307.8,1462,146.2,380,38
West Virginia,3852,385,2037,203.7,1815,181.5,264,26.4
Western Kentucky,4747,527,2690,298.9,2057,228.6,374,41.6
Western Michigan,3430,381,2071,230.1,1359,151,228,25.3
Wisconsin,2260,251,1411,156.8,849,94.3,129,14.3
