TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
Connecticut,1524,254,1071,178.5,453,75.5,76.8,12.8
SMU,1494.6,249.1,1168.8,194.8,325.8,54.3,39,6.5
Wake Forest,1447,206.7142857,1190,170,257,14.4,100.8,14.4
UCF,1746,291,1179,196.5,567,94.5,142.8,23.8
Texas A&M,4126,516,2913,364.1,1213,151.6,307,38.4
Baylor,4053,579,2449,349.9,1604,229.1,343,49
Marshall,4024,575,2031,290.1,1993,284.7,332,47.4
West Virginia,3769,538,2532,361.7,1237,176.7,261,37.3
Washington State,3743,535,3430,490,313,44.7,245,35
Middle Tennessee,3692,462,1946,243.3,1746,218.3,288,36
Oregon,3689,527,2168,309.7,1521,217.3,305,43.6
Michigan State,3676,525,1856,265.1,1820,260,329,47
Nebraska,3663,523,1608,229.7,2055,293.6,287,41
Bowling Green,3638,455,2315,289.4,1323,165.4,269,33.6
Alabama,3602,515,2036,290.9,1566,223.7,258,36.9
Georgia Southern,3553,508,949,135.6,2604,372,289,41.3
Toledo,3530,504,1838,262.6,1692,241.7,238,34
California,3476,497,2605,372.1,871,124.4,291,41.6
UCLA,3447,492,2043,291.9,1404,200.6,246,35.1
Texas Tech,3424,489,2313,330.4,1111,158.7,216,30.9
Massachusetts,3421,428,2536,317,885,110.6,242,30.3
Boise State,3395,485,2037,291,1358,194,224,32
Fresno State,3389,424,1876,234.5,1513,189.1,228,28.5
East Carolina,3388,565,2228,371.3,1160,193.3,246,41
UAB,3345,478,1872,267.4,1473,210.4,263,37.6
Arizona,3342,557,2145,357.5,1197,199.5,225,37.5
Northern Illinois,3333,476,1510,215.7,1823,260.4,225,32.1
Buffalo,3331,476,2035,290.7,1296,185.1,231,33
LSU,3322,415,1555,194.4,1767,220.9,285,35.6
Western Kentucky,3282,547,2500,416.7,782,130.3,253,42.2
Colorado State,3263,466,2155,307.9,1108,158.3,217,31
Colorado,3263,466,2153,307.6,1110,158.6,218,31.1
North Carolina State,3250,406,1804,225.5,1446,180.8,234,29.3
Georgia Tech,3243,463,1099,157,2144,306.3,241,34.4
USC,3239,463,1914,273.4,1325,189.3,249,35.6
New Mexico State,3235,404,1875,234.4,1360,170,197,24.6
TCU,3226,538,2041,340.2,1185,197.5,271,45.2
Indiana,3222,460,1193,170.4,2029,289.9,211,30.1
Oklahoma,3206,458,1862,266,1344,192,271,38.7
Ohio State,3203,534,1644,274,1559,259.8,279,46.5
Miami (OH),3193,399,2477,309.6,716,89.5,200,25
Appalachian State,3185,455,1590,227.1,1595,227.9,234,33.4
Arkansas,3179,454,1381,197.3,1798,256.9,268,38.3
Mississippi State,3178,530,1592,265.3,1586,264.3,251,41.8
North Carolina,3166,452,2100,300,1066,152.3,271,38.7
BYU,3165,452,1708,244,1457,208.1,229,32.7
South Carolina,3156,451,1858,265.4,1298,185.4,246,35.1
Arizona State,3140,523,1944,324,1196,199.3,225,37.5
Notre Dame,3136,448,1996,285.1,1140,162.9,234,33.4
Florida State,3098,443,2217,316.7,881,125.9,265,37.9
Western Michigan,3084,441,1767,252.4,1317,188.1,228,32.6
Clemson,3081,440,2121,303,960,137.1,242,34.6
Navy,3072,439,677,96.7,2395,342.1,206,29.4
Georgia,3060,437,1199,171.3,1861,265.9,304,43.4
Ole Miss,3033,433,1974,282,1059,151.3,248,35.4
Tulsa,3033,433,2012,287.4,1021,145.9,171,24.4
Ohio,2985,373,1719,214.9,1266,158.3,150,18.8
Miami (FL),2982,426,1847,263.9,1135,162.1,220,31.4
Central Michigan,2981,373,1744,218,1237,154.6,190,23.8
Air Force,2980,426,1066,152.3,1914,273.4,214,30.6
Idaho,2979,426,2141,305.9,838,119.7,181,25.9
Louisville,2963,370,1806,225.8,1157,144.6,247,30.9
Duke,2938,420,1412,201.7,1526,218,235,33.6
Auburn,2927,488,1355,225.8,1572,262,233,38.8
Boston College,2924,418,910,130,2014,287.7,185,26.4
Georgia State,2922,417,2122,303.1,800,114.3,189,27
Old Dominion,2916,417,1849,264.1,1067,152.4,214,30.6
Kentucky,2908,415,1732,247.4,1176,168,222,31.7
Rutgers,2905,415,1801,257.3,1104,157.7,194,27.7
Wisconsin,2904,484,846,141,2058,343,206,34.3
Purdue,2902,363,1455,181.9,1447,180.9,226,28.3
Nevada,2886,412,1686,240.9,1200,171.4,213,30.4
Illinois,2861,409,2132,304.6,729,104.1,200,28.6
Virginia,2851,407,1649,235.6,1202,171.7,203,29
Syracuse,2844,406,1500,214.3,1344,192,158,22.6
Maryland,2816,402,1762,251.7,1054,150.6,246,35.1
San Diego State,2786,398,1192,170.3,1594,227.7,163,23.3
Oklahoma State,2782,397,1726,246.6,1056,150.9,232,33.1
Army,2773,396,537,76.7,2236,319.4,182,26
Pittsburgh,2763,395,1090,155.7,1673,239,204,29.1
Virginia Tech,2759,394,1689,241.3,1070,152.9,199,28.4
Texas State,2759,460,1366,227.7,1393,232.2,203,33.8
Akron,2737,391,1862,266,875,125,162,23.1
New Mexico,2723,389,592,84.6,2131,304.4,173,24.7
Iowa,2721,389,1697,242.4,1024,146.3,189,27
Arkansas State,2713,452,1398,233,1315,219.2,170,28.3
UNLV,2672,382,1710,244.3,962,137.4,131,18.7
Houston,2667,381,1556,222.3,1111,158.7,197,28.1
Cincinnati,2658,443,1937,322.8,721,120.2,206,34.3
Southern Miss,2656,379,1909,272.7,747,106.7,143,20.4
Stanford,2624,375,1645,235,979,139.9,168,24
Kansas State,2605,434,1500,250,1105,184.2,235,39.2
Louisiana Tech,2591,370,1586,226.6,1005,143.6,232,33.1
Texas,2590,370,1579,225.6,1011,144.4,166,23.7
Utah State,2580,369,1651,235.9,929,132.7,179,25.6
