TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Memphis,4,1,6,3
East Carolina,3,1,6,2
Cincinnati,3,1,5,3
UCF,3,1,5,3
Houston,3,2,5,4
Temple,3,3,5,4
South Florida,2,3,3,6
Tulsa,2,3,2,7
Tulane,2,3,3,6
Connecticut,1,4,2,7
SMU,0,4,0,8
Florida State,6,0,9,0
Clemson,6,1,7,2
Louisville,5,3,7,3
Boston College,3,3,6,4
North Carolina State,1,5,5,5
Syracuse,1,5,3,7
Wake Forest,0,5,2,7
Duke,4,1,8,1
Georgia Tech,5,2,8,2
Miami (FL),3,2,6,3
North Carolina,2,3,4,5
Pittsburgh,2,3,4,5
Virginia,2,4,4,6
Virginia Tech,1,4,4,5
Baylor,5,1,8,1
TCU,5,1,8,1
Kansas State,5,1,7,2
Texas,4,3,5,5
West Virginia,4,3,6,4
Oklahoma,3,3,6,3
Oklahoma State,3,3,5,4
Texas Tech,1,5,3,6
Kansas,1,5,3,6
Iowa State,0,6,2,7
Ohio State,5,0,8,1
Michigan State,4,1,7,2
Maryland,3,2,6,3
Michigan,3,3,5,5
Penn State,2,4,5,4
Rutgers,1,4,5,4
Indiana,0,5,3,6
Nebraska,4,1,8,1
Minnesota,4,1,7,2
Wisconsin,4,1,7,2
Iowa,3,2,6,3
Northwestern,2,4,3,6
Illinois,1,4,4,5
Purdue,1,5,3,7
Marshall,5,0,9,0
Middle Tennessee,4,1,5,4
UAB,3,3,5,5
Western Kentucky,2,4,4,5
Old Dominion,2,4,4,6
Florida International,2,4,3,7
Florida Atlantic,2,4,3,7
Louisiana Tech,6,0,7,3
Rice,4,1,6,3
UTEP,3,2,5,4
North Texas,1,4,3,6
UTSA,1,4,2,7
Southern Miss,1,5,3,7
Notre Dame,0,0,7,2
BYU,0,0,5,4
Navy,0,0,4,5
Army,0,0,3,6
Bowling Green,4,1,6,3
Ohio,3,3,5,5
Akron,2,3,4,5
Massachusetts,2,3,2,7
Miami (OH),2,4,2,8
Buffalo,1,4,3,6
Kent State,0,5,1,8
Toledo,5,0,6,3
Western Michigan,4,1,6,3
